user_id,plan_name,action,action_date,previous_plan,cancel_reason
U-01468,monthly_basic,subscribe,2024-11-30,,
U-01470,monthly_basic,subscribe,2024-09-05,,
U-01472,monthly_pro,subscribe,2024-10-06,,
U-01472,monthly_pro,cancel,2024-11-30,,too_expensive
U-01479,annual_basic,subscribe,2024-10-31,,
U-01481,annual_basic,subscribe,2024-10-17,,
U-01482,annual_basic,subscribe,2024-08-13,,
U-01492,monthly_pro,subscribe,2024-08-24,,
U-01498,annual_basic,subscribe,2024-11-07,,
U-01498,annual_basic,cancel,2024-12-02,,content_quality
U-01508,monthly_basic,subscribe,2024-12-08,,
U-01528,monthly_basic,subscribe,2024-07-22,,
U-01533,monthly_basic,subscribe,2024-10-05,,
U-01548,monthly_basic,subscribe,2024-11-22,,
U-01548,monthly_basic,cancel,2024-12-30,,found_alternative
U-01564,monthly_basic,subscribe,2024-08-11,,
U-01566,monthly_basic,subscribe,2024-11-24,,
U-01577,annual_basic,subscribe,2024-12-07,,
U-01577,annual_basic,cancel,2024-12-30,,technical_issues
U-01585,annual_basic,subscribe,2024-06-09,,
U-01586,monthly_pro,subscribe,2024-06-13,,
U-01592,monthly_pro,subscribe,2024-12-20,,
U-01612,monthly_basic,subscribe,2024-10-23,,
U-01621,annual_pro,subscribe,2024-10-02,,
U-01638,monthly_basic,subscribe,2024-10-23,,
U-01646,monthly_basic,subscribe,2024-11-02,,
U-01651,monthly_pro,subscribe,2024-10-24,,
U-01652,monthly_pro,subscribe,2024-08-11,,
U-01657,monthly_basic,subscribe,2024-08-11,,
U-01664,annual_pro,subscribe,2024-04-14,,
U-01684,annual_basic,subscribe,2025-01-13,,
U-01688,monthly_basic,subscribe,2024-09-07,,
U-01700,monthly_basic,subscribe,2024-09-26,,
U-01723,annual_basic,subscribe,2024-09-28,,
U-01723,annual_basic,cancel,2024-11-09,,not_using
U-01726,monthly_basic,subscribe,2024-12-08,,
U-01729,monthly_pro,subscribe,2024-10-26,,
U-01743,annual_basic,subscribe,2024-09-09,,
U-01754,monthly_basic,subscribe,2024-08-11,,
U-01756,annual_basic,subscribe,2024-12-29,,
U-01757,monthly_basic,subscribe,2024-08-19,,
U-01765,annual_pro,subscribe,2024-07-18,,
U-01767,annual_pro,subscribe,2024-07-10,,
U-01768,annual_pro,subscribe,2025-01-08,,
U-01779,annual_pro,subscribe,2024-11-17,,
U-01781,monthly_basic,subscribe,2025-01-10,,
U-01787,annual_pro,subscribe,2024-11-22,,
U-01789,annual_basic,subscribe,2024-09-21,,
U-01796,annual_basic,subscribe,2024-05-31,,
U-01804,monthly_pro,subscribe,2024-09-10,,
U-01848,monthly_basic,subscribe,2024-06-24,,
U-01849,annual_pro,subscribe,2024-05-18,,
U-01849,annual_pro,cancel,2024-11-18,,not_using
U-01850,annual_basic,subscribe,2024-06-11,,
U-01851,monthly_pro,subscribe,2024-09-25,,
U-01852,annual_basic,subscribe,2024-07-21,,
U-01882,monthly_basic,subscribe,2024-10-08,,
U-01889,monthly_basic,subscribe,2024-11-01,,
U-01893,monthly_basic,subscribe,2024-12-02,,
U-01901,annual_basic,subscribe,2024-07-19,,
U-01909,annual_basic,subscribe,2024-04-21,,
U-01910,monthly_basic,subscribe,2024-10-16,,
U-01917,monthly_pro,subscribe,2024-06-30,,
U-01925,annual_basic,subscribe,2024-04-18,,
U-01927,monthly_pro,subscribe,2024-12-12,,
U-01933,monthly_pro,subscribe,2024-04-11,,
U-01937,monthly_pro,subscribe,2025-01-05,,
U-01949,annual_pro,subscribe,2024-12-23,,
U-01954,annual_pro,subscribe,2024-10-15,,
U-01958,annual_pro,subscribe,2024-10-17,,
U-01973,annual_basic,subscribe,2024-11-25,,
U-02016,annual_basic,subscribe,2024-08-14,,
U-02023,monthly_basic,subscribe,2024-08-05,,
U-02029,monthly_pro,subscribe,2024-10-20,,
U-02031,monthly_pro,subscribe,2024-07-15,,
U-02031,monthly_pro,cancel,2024-12-24,,too_expensive
U-02032,annual_pro,subscribe,2024-07-02,,
U-02032,annual_pro,cancel,2024-09-05,,too_expensive
U-02034,monthly_basic,subscribe,2025-01-02,,
U-02038,annual_basic,subscribe,2024-06-25,,
U-02038,annual_basic,cancel,2024-08-10,,found_alternative
U-02063,annual_basic,subscribe,2024-09-01,,
U-02065,annual_pro,subscribe,2024-08-28,,
U-02067,monthly_basic,subscribe,2024-10-09,,
U-02071,monthly_basic,subscribe,2024-09-26,,
U-02072,annual_basic,subscribe,2024-12-18,,
U-02088,monthly_basic,subscribe,2024-11-11,,
U-02091,monthly_pro,subscribe,2024-12-15,,
U-02102,monthly_basic,subscribe,2024-11-10,,
U-02111,monthly_pro,subscribe,2024-07-13,,
U-02117,monthly_basic,subscribe,2024-11-13,,
U-02128,annual_pro,subscribe,2024-12-14,,
U-02148,annual_pro,subscribe,2024-12-22,,
U-02150,monthly_pro,subscribe,2024-05-08,,
U-02165,monthly_pro,subscribe,2024-12-24,,
U-02170,monthly_basic,subscribe,2025-01-03,,
U-02171,annual_basic,subscribe,2024-12-30,,
U-02191,monthly_basic,subscribe,2024-11-27,,
U-02196,monthly_basic,subscribe,2024-12-18,,
U-02196,monthly_basic,cancel,2025-01-08,,technical_issues
U-02199,annual_basic,subscribe,2025-01-07,,
U-02203,monthly_basic,subscribe,2024-07-28,,
U-02208,annual_basic,subscribe,2024-09-19,,
U-02209,monthly_basic,subscribe,2024-11-16,,
U-02210,annual_basic,subscribe,2024-11-12,,
U-02213,annual_basic,subscribe,2024-12-09,,
U-02217,annual_pro,subscribe,2024-11-22,,
U-02231,monthly_pro,subscribe,2024-03-27,,
U-02240,monthly_basic,subscribe,2024-12-30,,
U-02254,monthly_basic,subscribe,2024-07-18,,
U-02254,monthly_basic,cancel,2024-08-12,,not_using
U-02292,annual_pro,subscribe,2024-09-26,,
U-02293,monthly_basic,subscribe,2024-11-23,,
U-02294,annual_basic,subscribe,2024-09-17,,
U-02301,annual_pro,subscribe,2024-11-07,,
U-02314,annual_pro,subscribe,2024-12-08,,
U-02326,monthly_pro,subscribe,2024-11-18,,
U-02329,monthly_pro,subscribe,2025-01-10,,
U-02343,monthly_basic,subscribe,2024-03-26,,
U-02352,monthly_basic,subscribe,2024-07-03,,
U-02358,monthly_pro,subscribe,2024-08-08,,
U-02359,monthly_basic,subscribe,2024-12-11,,
U-02367,annual_basic,subscribe,2024-06-19,,
U-02374,monthly_pro,subscribe,2024-11-09,,
U-02376,monthly_basic,subscribe,2024-03-28,,
U-02376,monthly_basic,cancel,2024-07-09,,content_quality
U-02382,monthly_pro,subscribe,2024-06-30,,
U-02400,monthly_basic,subscribe,2024-11-02,,
U-02409,monthly_basic,subscribe,2024-06-20,,
U-02418,monthly_basic,subscribe,2024-11-11,,
U-02419,annual_pro,subscribe,2025-01-14,,
U-02420,annual_pro,subscribe,2024-10-21,,
U-02425,monthly_basic,subscribe,2024-04-15,,
U-02434,monthly_basic,subscribe,2024-09-12,,
U-02441,annual_pro,subscribe,2024-07-30,,
U-02448,monthly_pro,subscribe,2024-05-17,,
U-02448,monthly_pro,cancel,2024-06-27,,other
U-02450,monthly_basic,subscribe,2024-12-04,,
U-02463,annual_basic,subscribe,2024-09-24,,
U-02483,annual_pro,subscribe,2024-08-14,,
U-02486,annual_basic,subscribe,2024-07-25,,
U-02495,monthly_basic,subscribe,2024-12-24,,
U-02508,annual_pro,subscribe,2024-11-08,,
U-02531,annual_pro,subscribe,2024-08-21,,
U-02532,monthly_pro,subscribe,2024-10-26,,
U-02534,annual_basic,subscribe,2024-10-02,,
U-02538,annual_basic,subscribe,2024-05-10,,
U-02546,monthly_pro,subscribe,2024-06-29,,
U-02548,monthly_basic,subscribe,2024-05-30,,
U-02550,annual_basic,subscribe,2024-06-11,,
U-02551,monthly_basic,subscribe,2025-01-02,,
U-02557,annual_pro,subscribe,2024-06-14,,
U-02558,annual_basic,subscribe,2024-09-07,,
U-02566,monthly_pro,subscribe,2024-05-27,,
U-02569,monthly_basic,subscribe,2024-03-16,,
U-02569,monthly_basic,cancel,2024-08-04,,not_using
U-02584,monthly_pro,subscribe,2024-05-29,,
U-02584,monthly_pro,cancel,2024-10-24,,not_using
U-02596,monthly_basic,subscribe,2024-12-23,,
U-02600,monthly_pro,subscribe,2024-10-29,,
U-02626,annual_basic,subscribe,2024-10-12,,
U-02639,annual_pro,subscribe,2024-04-22,,
U-02647,monthly_basic,subscribe,2024-09-13,,
U-02650,monthly_basic,subscribe,2024-10-16,,
U-02663,annual_pro,subscribe,2024-11-20,,
U-02665,annual_pro,subscribe,2024-12-20,,
U-02685,annual_basic,subscribe,2024-07-27,,
U-02693,annual_pro,subscribe,2024-10-24,,
U-02705,annual_basic,subscribe,2024-10-06,,
U-02709,monthly_basic,subscribe,2024-09-29,,
U-02714,monthly_pro,subscribe,2024-10-20,,
U-02723,annual_basic,subscribe,2024-08-31,,
U-02726,monthly_pro,subscribe,2024-06-20,,
U-02729,annual_basic,subscribe,2025-01-08,,
U-02730,monthly_pro,subscribe,2024-04-25,,
U-02758,monthly_pro,subscribe,2024-12-20,,
U-02760,monthly_basic,subscribe,2024-05-12,,
U-02761,annual_pro,subscribe,2024-10-15,,
U-02765,annual_basic,subscribe,2025-01-14,,
U-02766,monthly_pro,subscribe,2024-11-24,,
U-02792,monthly_pro,subscribe,2024-12-07,,
U-02792,monthly_pro,cancel,2024-12-29,,too_expensive
U-02798,monthly_pro,subscribe,2024-10-14,,
U-02803,monthly_pro,subscribe,2024-05-23,,
U-02803,monthly_pro,cancel,2024-10-15,,too_expensive
U-02811,monthly_basic,subscribe,2024-05-08,,
U-02820,monthly_basic,subscribe,2024-09-24,,
U-02822,annual_basic,subscribe,2024-07-17,,
U-02837,monthly_basic,subscribe,2024-03-26,,
U-02839,annual_basic,subscribe,2024-12-29,,
U-02855,annual_basic,subscribe,2024-06-22,,
U-02858,monthly_pro,subscribe,2024-04-04,,
U-02858,monthly_pro,cancel,2024-04-28,,not_using
U-02859,annual_pro,subscribe,2024-11-02,,
U-02859,annual_pro,cancel,2024-12-06,,not_using
U-02861,annual_pro,subscribe,2024-08-04,,
U-02874,annual_basic,subscribe,2024-12-06,,
U-02879,monthly_basic,subscribe,2024-10-06,,
U-02883,annual_basic,subscribe,2024-07-07,,
U-02884,monthly_basic,subscribe,2024-12-27,,
U-02886,annual_pro,subscribe,2024-04-17,,
U-02894,annual_pro,subscribe,2024-07-25,,
U-02896,annual_basic,subscribe,2025-01-02,,
U-02904,monthly_pro,subscribe,2024-12-20,,
U-02915,monthly_basic,subscribe,2024-06-22,,
U-02923,monthly_basic,subscribe,2024-07-06,,
U-02926,annual_pro,subscribe,2024-12-30,,
U-02927,monthly_basic,subscribe,2024-06-29,,
U-02927,monthly_basic,cancel,2024-12-24,,technical_issues
U-02935,monthly_basic,subscribe,2024-12-30,,
U-02941,monthly_pro,subscribe,2025-01-06,,
U-02966,monthly_basic,subscribe,2025-01-15,,
U-02972,monthly_basic,subscribe,2024-07-08,,
U-02973,monthly_pro,subscribe,2024-10-22,,
U-02982,monthly_pro,subscribe,2024-11-24,,
U-02987,monthly_basic,subscribe,2024-07-20,,
U-02996,monthly_basic,subscribe,2024-10-03,,
U-03001,monthly_basic,subscribe,2024-12-24,,
U-03009,annual_basic,subscribe,2025-01-07,,
U-03010,monthly_basic,subscribe,2024-04-27,,
U-03022,annual_pro,subscribe,2024-06-12,,
U-03026,monthly_basic,subscribe,2024-06-30,,
U-03028,monthly_pro,subscribe,2024-11-21,,
U-03030,monthly_pro,subscribe,2024-11-26,,
U-03030,monthly_pro,cancel,2024-12-21,,not_using
U-03047,monthly_basic,subscribe,2024-05-01,,
U-03048,monthly_basic,subscribe,2024-12-20,,
U-03051,monthly_pro,subscribe,2024-10-03,,
U-03053,annual_pro,subscribe,2024-05-06,,
U-03054,monthly_basic,subscribe,2024-10-15,,
U-03060,annual_pro,subscribe,2024-09-25,,
U-03078,monthly_basic,subscribe,2024-12-25,,
U-03104,annual_pro,subscribe,2024-04-22,,
U-03118,monthly_pro,subscribe,2024-12-02,,
U-03119,annual_basic,subscribe,2025-01-05,,
U-03166,monthly_basic,subscribe,2024-08-09,,
U-03168,monthly_basic,subscribe,2024-05-30,,
U-03210,monthly_pro,subscribe,2024-11-11,,
U-03211,monthly_basic,subscribe,2024-10-30,,
U-03219,monthly_basic,subscribe,2024-08-31,,
U-03226,annual_pro,subscribe,2024-05-12,,
U-03230,monthly_pro,subscribe,2024-08-30,,
U-03236,monthly_basic,subscribe,2025-01-14,,
U-03237,monthly_basic,subscribe,2024-11-07,,
U-03239,monthly_basic,subscribe,2024-07-25,,
U-03239,monthly_basic,cancel,2024-08-28,,found_alternative
U-03244,monthly_pro,subscribe,2024-12-05,,
U-03246,annual_pro,subscribe,2024-12-12,,
U-03248,monthly_basic,subscribe,2024-10-30,,
U-03250,monthly_pro,subscribe,2024-11-15,,
U-03252,monthly_basic,subscribe,2024-11-13,,
U-03260,monthly_pro,subscribe,2024-06-26,,
U-03264,monthly_pro,subscribe,2024-12-06,,
U-03267,monthly_basic,subscribe,2024-10-06,,
U-03273,monthly_basic,subscribe,2024-05-27,,
U-03276,monthly_basic,subscribe,2024-12-03,,
U-03278,monthly_pro,subscribe,2024-11-16,,
U-03297,annual_pro,subscribe,2024-09-04,,
U-03299,annual_basic,subscribe,2024-04-13,,
U-03299,annual_basic,cancel,2024-12-21,,too_expensive
U-03302,monthly_basic,subscribe,2024-06-29,,
U-03310,monthly_pro,subscribe,2024-10-01,,
U-03315,monthly_basic,subscribe,2024-07-27,,
U-03323,monthly_basic,subscribe,2024-11-05,,
U-03344,annual_pro,subscribe,2024-08-06,,
U-03353,monthly_pro,subscribe,2024-08-27,,
U-03366,monthly_basic,subscribe,2024-04-06,,
U-03371,monthly_basic,subscribe,2025-01-13,,
U-03375,monthly_pro,subscribe,2024-11-20,,
U-03391,monthly_pro,subscribe,2024-11-24,,
U-03405,monthly_basic,subscribe,2025-01-03,,
U-03432,monthly_pro,subscribe,2024-12-20,,
U-03433,monthly_pro,subscribe,2024-11-15,,
U-03434,annual_pro,subscribe,2024-06-16,,
U-03437,monthly_basic,subscribe,2024-11-05,,
U-03438,monthly_basic,subscribe,2024-12-24,,
U-03438,monthly_basic,cancel,2025-01-15,,technical_issues
U-03476,annual_pro,subscribe,2024-10-26,,
U-03482,monthly_pro,subscribe,2024-11-20,,
U-03483,monthly_pro,subscribe,2024-05-10,,
U-03493,monthly_basic,subscribe,2024-11-08,,
U-03505,annual_basic,subscribe,2024-09-10,,
U-03510,monthly_basic,subscribe,2024-12-22,,
U-03518,monthly_pro,subscribe,2024-03-08,,
U-03520,annual_basic,subscribe,2024-11-02,,
U-03521,monthly_basic,subscribe,2024-11-04,,
U-03528,monthly_pro,subscribe,2024-04-13,,
U-03542,monthly_basic,subscribe,2024-08-04,,
U-03543,annual_basic,subscribe,2024-10-11,,
U-03544,annual_basic,subscribe,2024-11-23,,
U-03545,monthly_basic,subscribe,2024-04-09,,
U-03547,annual_basic,subscribe,2024-06-02,,
U-03549,annual_basic,subscribe,2024-11-24,,
U-03562,monthly_pro,subscribe,2024-10-28,,
U-03564,monthly_pro,subscribe,2024-09-21,,
U-03565,annual_basic,subscribe,2024-11-14,,
U-03570,annual_basic,subscribe,2024-04-12,,
U-03593,monthly_basic,subscribe,2024-09-13,,
U-03612,annual_basic,subscribe,2024-08-16,,
U-03613,annual_basic,subscribe,2024-05-21,,
U-03614,annual_pro,subscribe,2024-08-23,,
U-03615,annual_basic,subscribe,2024-10-01,,
U-03616,monthly_basic,subscribe,2024-10-22,,
U-03631,monthly_pro,subscribe,2024-08-01,,
U-03631,monthly_pro,cancel,2024-10-18,,too_expensive
U-03634,annual_basic,subscribe,2024-11-21,,
U-03635,annual_basic,subscribe,2024-08-06,,
U-03642,monthly_pro,subscribe,2024-12-22,,
U-03646,monthly_pro,subscribe,2024-12-07,,
U-03649,monthly_basic,subscribe,2024-11-12,,
U-03652,annual_pro,subscribe,2025-01-09,,
U-03654,annual_pro,subscribe,2024-08-12,,
U-03657,annual_basic,subscribe,2024-07-21,,
U-03657,annual_basic,cancel,2024-11-11,,found_alternative
U-03659,monthly_pro,subscribe,2024-12-07,,
U-03676,monthly_pro,subscribe,2024-08-30,,
U-03677,monthly_pro,subscribe,2024-09-18,,
U-03681,monthly_pro,subscribe,2024-07-19,,
U-03682,monthly_pro,subscribe,2024-08-16,,
U-03687,monthly_basic,subscribe,2024-04-11,,
U-03696,monthly_pro,subscribe,2024-07-05,,
U-03704,monthly_basic,subscribe,2024-07-06,,
U-03723,annual_basic,subscribe,2025-01-05,,
U-03729,monthly_pro,subscribe,2024-08-31,,
U-03749,annual_basic,subscribe,2025-01-10,,
U-03766,annual_pro,subscribe,2024-09-18,,
