user_id,signup_date,acquisition_source,device_type,campaign_id,signup_method,gender,age_group,job_category,state,current_plan,plan_start_date,is_activated,activation_date,churn_date,cancel_reason,total_sessions,total_lessons_completed,last_active_date
U-00039,2024-12-13,instagram_influencer,ios,CMP-013,kakao,female,25-29,marketing,free_active,,,False,,,,7,1,2025-03-25
U-00040,2024-10-16,content_marketing,web,CMP-008,email,other,25-29,sales,resurrected,monthly_basic,2025-04-29,False,,2024-12-12,,12,5,2025-05-23
U-00041,2024-11-13,meta_ads,ios,CMP-004,naver,female,20-24,marketing,free_active,,,False,,,,5,2,2025-02-03
U-00042,2024-04-01,google_ads,web,CMP-002,naver,female,30-34,other,resurrected,monthly_basic,2025-02-09,False,,2024-05-23,,4,16,2025-05-22
U-00043,2024-07-02,referral,ios,CMP-009,kakao,male,20-24,other,churned,,,False,,2024-07-31,,0,0,2024-07-31
U-00044,2024-07-25,organic,ios,,google,male,20-24,sales,churned,,,False,,2025-05-24,too_expensive,10,5,2025-03-11
U-00045,2024-04-22,youtube,ios,CMP-011,google,male,25-29,student,churned,,,False,,2024-06-19,,0,0,2024-06-19
U-00046,2024-07-04,youtube,web,CMP-011,naver,male,25-29,sales,churned,,,False,,2024-09-01,,0,0,2024-09-01
U-00047,2024-05-04,youtube,ios,CMP-010,google,male,20-24,developer,churned,,,False,,2024-06-21,,0,14,2024-06-21
U-00048,2024-07-21,organic,web,,kakao,male,30-34,finance,free_active,,,False,,,,6,17,2025-02-05
U-00049,2024-10-30,youtube,web,CMP-010,kakao,female,25-29,marketing,active,monthly_pro,2024-11-07,False,,,,74,36,2025-05-25
U-00050,2024-08-19,youtube,android,CMP-010,naver,male,20-24,hr,churned,,,False,,2025-04-28,content_quality,6,2,2025-03-17
U-00051,2024-08-21,youtube,android,CMP-011,google,male,30-34,student,free_active,,,False,,,,21,8,2025-04-30
U-00052,2024-06-24,youtube,ios,CMP-010,google,female,25-29,marketing,resurrected,monthly_basic,2025-05-03,False,,2024-07-16,,11,11,2025-05-22
U-00053,2024-07-17,meta_ads,ios,CMP-004,kakao,male,35-39,student,churned,,,False,,2024-08-04,,0,0,2024-08-04
U-00054,2024-12-26,youtube,web,CMP-011,kakao,female,25-29,finance,churned,,,False,,2025-01-06,trial_expired,0,0,2025-01-06
U-00055,2024-11-01,instagram_influencer,android,CMP-012,email,male,30-34,marketing,resurrected,monthly_basic,2025-04-04,False,,2024-11-16,,12,3,2025-05-16
U-00056,2024-10-24,google_ads,web,CMP-003,kakao,male,35-39,marketing,free_active,,,False,,,,29,8,2025-05-24
U-00057,2024-06-07,google_ads,ios,CMP-001,kakao,male,30-34,student,churned,,,False,,2024-06-17,,0,0,2024-06-17
U-00058,2024-11-18,youtube,web,CMP-010,email,female,25-29,developer,active,annual_pro,2024-11-28,False,,,,72,36,2025-05-23
U-00059,2024-06-04,youtube,android,CMP-011,email,female,35-39,office_admin,resurrected,monthly_basic,2025-03-07,False,,2024-06-14,,19,16,2025-05-21
U-00060,2024-08-24,organic,ios,,kakao,male,35-39,student,churned,,,False,,2024-10-01,,0,8,2024-10-01
U-00061,2025-01-04,youtube,web,CMP-011,naver,female,20-24,design,resurrected,monthly_basic,2025-05-09,False,,2025-01-12,trial_expired,7,2,2025-05-19
U-00062,2024-10-31,organic,android,,google,male,30-34,sales,churned,,,False,,2024-12-05,,0,0,2024-12-05
U-00063,2024-10-12,instagram_influencer,ios,CMP-012,google,male,35-39,developer,churned,,,False,,2025-03-11,technical_issues,0,0,2024-12-23
U-00064,2024-11-09,organic,web,,google,male,25-29,student,churned,,,False,,2024-12-08,,0,0,2024-12-08
U-00065,2024-12-10,google_ads,web,CMP-002,google,female,35-39,student,churned,,,False,,2025-02-11,too_expensive,3,1,2025-01-09
U-00066,2024-11-28,google_ads,web,CMP-003,kakao,male,25-29,design,resurrected,monthly_basic,2025-02-21,False,,2024-12-24,,17,2,2025-05-21
U-00067,2024-07-02,meta_ads,web,CMP-006,naver,female,40+,marketing,churned,,,False,,2024-08-04,,0,0,2024-08-04
U-00068,2024-03-23,content_marketing,web,CMP-007,email,male,30-34,design,churned,,,False,,2025-04-20,too_expensive,12,4,2025-03-19
U-00069,2024-08-03,google_ads,android,CMP-003,naver,female,25-29,developer,churned,,,False,,2024-09-22,,0,7,2024-09-22
U-00070,2024-07-17,youtube,android,CMP-011,kakao,female,35-39,sales,churned,,,False,,2024-08-12,,0,0,2024-08-12
U-00071,2024-06-25,instagram_influencer,web,CMP-013,kakao,female,30-34,marketing,active,monthly_basic,2024-07-04,False,,,,40,19,2025-05-24
U-00072,2024-12-27,youtube,web,CMP-011,naver,male,25-29,other,active,monthly_pro,2025-01-06,False,,,,73,28,2025-05-22
U-00073,2024-12-16,youtube,web,CMP-011,naver,female,40+,student,churned,,,False,,2025-05-09,too_expensive,9,6,2025-02-16
U-00074,2024-08-03,content_marketing,web,CMP-007,google,female,20-24,student,active,monthly_pro,2024-08-11,False,,,,53,40,2025-05-25
U-00075,2024-11-03,organic,web,,google,female,40+,sales,churned,,,False,,2024-11-14,,0,0,2024-11-14
U-00076,2024-08-29,content_marketing,web,CMP-007,google,female,25-29,marketing,free_active,,,False,,,,7,15,2025-04-23
U-00077,2024-12-23,referral,web,CMP-009,google,male,35-39,student,active,monthly_basic,2025-01-06,False,,,,105,53,2025-05-24
U-00078,2024-09-16,organic,web,,kakao,female,30-34,developer,active,monthly_pro,2024-09-26,False,,,,78,61,2025-05-25
U-00079,2024-07-16,organic,web,,email,female,25-29,marketing,churned,,,False,,2024-07-31,,0,0,2024-07-31
U-00080,2024-07-09,instagram_influencer,ios,CMP-012,kakao,male,25-29,design,churned,,,False,,2025-02-25,too_expensive,2,0,2025-01-12
U-00081,2024-10-13,organic,ios,,google,male,20-24,sales,churned,,,False,,2024-10-24,,0,0,2024-10-24
U-00082,2024-07-15,google_ads,web,CMP-002,email,male,30-34,marketing,churned,,,False,,2025-02-03,too_expensive,0,0,2024-12-28
U-00083,2024-10-18,instagram_influencer,ios,CMP-013,google,female,25-29,student,resurrected,monthly_basic,2025-01-21,False,,2024-11-17,,22,7,2025-03-23
U-00084,2024-12-20,referral,web,CMP-009,kakao,female,25-29,hr,active,annual_pro,2024-12-30,False,,,,99,56,2025-05-25
U-00085,2024-08-30,google_ads,android,CMP-003,kakao,other,25-29,sales,churned,,,False,,2024-10-21,,0,0,2024-10-21
U-00086,2024-06-28,organic,web,,email,other,25-29,developer,active,annual_basic,2024-07-05,False,,,,82,55,2025-05-25
U-00087,2025-01-05,organic,web,,google,female,35-39,office_admin,free_active,,,True,2025-01-07,,,11,5,2025-04-27
U-00088,2024-09-30,organic,web,,naver,male,25-29,design,churned,,,False,,2024-10-12,,0,0,2024-10-12
U-00089,2024-04-28,organic,ios,,kakao,female,40+,marketing,churned,,,False,,2025-05-19,technical_issues,0,0,2025-01-05
U-00090,2024-04-02,content_marketing,android,CMP-008,kakao,female,25-29,other,active,annual_pro,2024-04-09,False,,,,54,15,2025-05-21
U-00091,2024-05-08,organic,android,,kakao,male,25-29,marketing,resurrected,monthly_basic,2025-05-04,False,,2024-06-13,,8,0,2025-05-21
U-00092,2024-10-28,google_ads,web,CMP-002,email,male,35-39,design,churned,,,False,,2024-12-18,,0,0,2024-12-18
U-00093,2024-12-01,meta_ads,web,CMP-005,kakao,female,20-24,sales,churned,,,False,,2025-02-18,too_expensive,0,0,2024-12-23
U-00094,2024-09-06,content_marketing,web,CMP-007,kakao,female,40+,marketing,churned,,,False,,2024-11-01,,0,0,2024-11-01
U-00095,2024-04-12,instagram_influencer,ios,CMP-013,google,female,40+,sales,free_active,,,False,,,,4,0,2025-01-20
U-00096,2024-08-25,google_ads,android,CMP-001,email,female,25-29,other,free_active,,,False,,,,12,1,2025-04-16
U-00097,2025-01-05,youtube,android,CMP-011,google,male,25-29,student,churned,,,True,2025-01-07,2025-01-13,trial_expired,5,1,2025-01-12
U-00098,2024-10-05,referral,web,CMP-009,kakao,male,25-29,finance,churned,,,False,,2024-11-09,,0,0,2024-11-09
U-00099,2025-01-01,content_marketing,web,CMP-008,kakao,male,25-29,marketing,churned,,,False,,2025-01-09,trial_expired,0,0,2025-01-04
U-00100,2024-12-13,content_marketing,web,CMP-008,email,female,25-29,marketing,churned,,,False,,2025-02-21,too_expensive,2,1,2025-01-10
U-00101,2024-03-09,youtube,ios,CMP-011,kakao,male,20-24,office_admin,churned,,,False,,2025-02-26,too_expensive,0,0,2025-01-01
U-00102,2024-11-17,instagram_influencer,web,CMP-012,email,male,35-39,sales,churned,,,False,,2025-01-31,other,0,0,2024-12-27
U-00103,2024-11-09,google_ads,web,CMP-002,naver,male,20-24,office_admin,active,monthly_basic,2024-11-19,False,,,,43,15,2025-05-23
U-00104,2024-10-07,google_ads,ios,CMP-003,email,male,30-34,sales,free_active,,,False,,,,13,9,2025-05-21
U-00105,2024-07-17,youtube,web,CMP-011,email,female,40+,marketing,resurrected,monthly_basic,2025-02-03,False,,2024-07-28,,57,28,2025-05-23
U-00106,2024-10-31,google_ads,ios,CMP-001,google,female,30-34,student,churned,,,False,,2024-12-29,,0,0,2024-12-29
U-00107,2024-05-09,youtube,web,CMP-011,google,female,25-29,finance,active,annual_pro,2024-05-17,False,,,,68,43,2025-05-25
U-00108,2024-09-09,youtube,android,CMP-011,kakao,female,35-39,finance,resurrected,monthly_basic,2025-04-27,False,,2025-02-22,not_using,8,3,2025-05-24
U-00109,2024-09-15,youtube,web,CMP-010,email,female,30-34,finance,churned,,,False,,2025-02-25,not_using,1,1,2025-01-08
U-00110,2024-12-29,google_ads,web,CMP-002,google,male,30-34,design,active,monthly_basic,2025-01-06,False,,,,39,11,2025-05-22
U-00111,2024-12-16,google_ads,android,CMP-003,kakao,female,20-24,developer,free_active,,,False,,,,14,1,2025-05-23
U-00112,2024-07-16,content_marketing,web,CMP-008,naver,female,25-29,sales,churned,,,False,,2024-09-08,,0,0,2024-09-08
U-00113,2024-09-27,referral,web,CMP-009,kakao,female,40+,other,churned,,,False,,2024-10-12,,0,0,2024-10-12
U-00114,2024-06-11,instagram_influencer,web,CMP-013,google,female,40+,office_admin,active,monthly_basic,2024-06-21,False,,,,40,10,2025-05-21
U-00115,2024-12-22,content_marketing,android,CMP-007,kakao,female,35-39,marketing,churned,,,False,,2025-02-23,too_expensive,1,0,2025-01-06
U-00116,2024-12-15,referral,ios,CMP-009,google,female,25-29,student,free_active,,,False,,,,11,8,2025-05-23
U-00117,2024-07-28,content_marketing,ios,CMP-007,naver,male,35-39,sales,churned,,,False,,2024-09-26,,0,0,2024-09-26
U-00118,2024-10-30,instagram_influencer,web,CMP-012,naver,female,35-39,developer,churned,,,False,,2024-11-28,,0,6,2024-11-28
U-00119,2024-10-24,instagram_influencer,android,CMP-012,google,female,30-34,sales,churned,,,False,,2025-03-11,not_using,1,0,2025-01-07
U-00120,2024-05-30,youtube,android,CMP-010,google,female,20-24,design,churned,,,False,,2024-06-14,,0,0,2024-06-14
U-00121,2024-11-25,organic,ios,,google,female,35-39,sales,resurrected,monthly_basic,2025-05-07,False,,2024-12-23,,13,6,2025-05-25
U-00122,2024-10-07,referral,web,CMP-009,kakao,male,25-29,finance,active,monthly_basic,2024-10-17,False,,,,108,75,2025-05-25
U-00123,2024-11-28,google_ads,web,CMP-002,email,female,20-24,student,free_active,,,False,,,,21,4,2025-05-24
U-00124,2024-10-05,organic,ios,,naver,female,25-29,developer,active,monthly_basic,2024-10-14,False,,,,98,52,2025-05-25
U-00125,2024-03-01,youtube,android,CMP-011,kakao,female,20-24,design,churned,,,False,,2024-03-22,,0,0,2024-03-22
U-00126,2024-08-06,instagram_influencer,ios,CMP-013,email,female,20-24,other,free_active,,,False,,,,21,14,2025-05-22
U-00127,2024-03-15,google_ads,ios,CMP-002,naver,female,20-24,hr,active,monthly_basic,2024-03-22,False,,,,49,11,2025-05-23
U-00128,2024-12-25,meta_ads,android,CMP-005,google,female,25-29,finance,churned,,,False,,2025-01-06,trial_expired,0,0,2025-01-04
U-00129,2024-12-16,meta_ads,web,CMP-006,naver,female,25-29,finance,churned,,,False,,2025-02-21,technical_issues,1,0,2025-01-19
U-00130,2024-12-08,organic,web,,email,male,30-34,design,churned,,,False,,2025-03-15,too_expensive,4,0,2025-01-18
U-00131,2024-07-31,meta_ads,android,CMP-006,kakao,female,35-39,finance,churned,,,False,,2024-09-19,,0,2,2024-09-19
U-00132,2024-04-09,youtube,ios,CMP-010,kakao,female,25-29,marketing,resurrected,monthly_basic,2025-03-04,False,,2024-05-08,,42,11,2025-05-25
U-00133,2024-12-16,organic,ios,,kakao,female,40+,finance,free_active,,,False,,,,20,10,2025-05-25
U-00134,2024-12-28,youtube,web,CMP-010,google,female,25-29,developer,resurrected,monthly_basic,2025-03-16,False,,2025-01-06,trial_expired,16,7,2025-05-25
U-00135,2024-04-25,google_ads,web,CMP-003,kakao,female,30-34,student,churned,,,False,,2024-05-14,,0,0,2024-05-14
U-00136,2024-09-24,google_ads,android,CMP-002,email,female,25-29,developer,free_active,,,False,,,,16,1,2025-03-22
U-00137,2024-04-15,google_ads,android,CMP-003,google,male,30-34,marketing,churned,,,False,,2024-05-24,,0,0,2024-05-24
U-00138,2024-11-25,meta_ads,web,CMP-005,kakao,female,30-34,finance,free_active,,,False,,,,5,1,2025-04-09
U-00139,2024-11-26,organic,web,,google,female,30-34,other,resurrected,monthly_basic,2025-03-24,False,,2025-01-02,,30,15,2025-05-25
U-00140,2024-05-18,meta_ads,android,CMP-005,kakao,other,30-34,sales,resurrected,monthly_basic,2025-05-22,False,,2024-06-21,,0,4,2025-05-22
U-00141,2024-09-21,organic,ios,,kakao,female,30-34,marketing,resurrected,monthly_basic,2025-01-12,False,,2024-10-10,,88,36,2025-05-24
U-00142,2024-10-10,referral,web,CMP-009,naver,male,30-34,design,free_active,,,False,,,,11,5,2025-04-08
U-00143,2024-07-16,content_marketing,android,CMP-007,email,male,40+,office_admin,churned,,,False,,2024-07-24,,0,0,2024-07-24
U-00144,2024-12-15,google_ads,web,CMP-003,kakao,female,35-39,other,free_active,,,False,,,,3,1,2025-03-06
U-00145,2024-09-06,youtube,android,CMP-011,google,female,30-34,finance,resurrected,monthly_basic,2025-02-21,False,,2024-10-24,,36,8,2025-05-25
U-00146,2024-06-25,referral,ios,CMP-009,kakao,female,25-29,marketing,resurrected,monthly_basic,2025-04-28,False,,2024-07-15,,20,31,2025-05-25
U-00147,2024-10-07,google_ads,android,CMP-002,email,male,30-34,student,churned,,,False,,2025-04-05,not_using,15,1,2025-02-27
U-00148,2024-11-19,instagram_influencer,android,CMP-012,kakao,female,30-34,student,churned,,,False,,2024-11-30,,0,0,2024-11-30
U-00149,2024-06-21,youtube,web,CMP-011,kakao,male,30-34,hr,free_active,,,False,,,,6,1,2025-05-02
U-00150,2024-08-02,youtube,web,CMP-011,google,female,25-29,design,resurrected,monthly_basic,2025-03-06,False,,2024-09-17,,37,17,2025-05-22
U-00151,2025-01-05,referral,ios,CMP-009,email,male,30-34,other,churned,,,True,2025-01-06,2025-03-09,found_alternative,8,4,2025-02-01
U-00152,2024-11-02,referral,android,CMP-009,google,male,30-34,student,resurrected,monthly_basic,2025-04-24,False,,2024-11-23,,9,4,2025-05-20
U-00153,2024-09-10,youtube,android,CMP-011,naver,male,25-29,finance,free_active,,,False,,,,17,3,2025-05-07
U-00154,2024-10-02,meta_ads,ios,CMP-004,kakao,female,40+,developer,resurrected,monthly_basic,2025-05-14,False,,2024-10-19,,5,0,2025-05-20
U-00155,2024-05-14,referral,android,CMP-009,google,female,25-29,design,free_active,,,False,,,,3,1,2025-03-30
U-00156,2024-06-30,youtube,android,CMP-010,google,male,20-24,student,resurrected,monthly_basic,2025-02-01,False,,2024-07-26,,56,12,2025-05-25
U-00157,2024-08-11,instagram_influencer,android,CMP-013,google,male,30-34,sales,churned,,,False,,2024-09-14,,0,0,2024-09-14
U-00158,2024-10-19,instagram_influencer,web,CMP-013,kakao,female,20-24,sales,churned,,,False,,2025-04-14,other,3,1,2025-01-22
U-00159,2024-07-03,organic,android,,google,male,25-29,hr,churned,,,False,,2025-04-07,not_using,3,1,2025-01-31
U-00160,2024-06-29,content_marketing,web,CMP-007,google,female,20-24,sales,churned,,,False,,2024-08-01,,0,0,2024-08-01
U-00161,2024-04-17,instagram_influencer,ios,CMP-012,naver,male,30-34,student,churned,,,False,,2025-04-01,too_expensive,7,0,2025-02-03
U-00162,2024-10-29,meta_ads,ios,CMP-006,naver,female,25-29,sales,churned,,,False,,2025-04-17,found_alternative,9,2,2025-01-28
U-00163,2024-07-02,instagram_influencer,web,CMP-012,naver,female,30-34,design,resurrected,monthly_basic,2025-03-29,False,,2025-03-05,technical_issues,8,3,2025-05-22
U-00164,2024-12-21,organic,web,,kakao,male,30-34,finance,active,annual_pro,2024-12-30,False,,,,59,34,2025-05-25
U-00165,2024-12-13,instagram_influencer,android,CMP-012,google,female,25-29,design,churned,,,False,,2025-03-22,not_using,7,1,2025-02-19
U-00166,2024-04-16,meta_ads,ios,CMP-004,kakao,other,35-39,other,churned,,,False,,2025-03-08,other,0,0,2024-12-29
U-00167,2024-07-06,referral,web,CMP-009,kakao,female,30-34,student,free_active,,,False,,,,31,12,2025-05-20
U-00168,2024-11-06,google_ads,ios,CMP-002,kakao,male,25-29,design,active,monthly_pro,2024-11-16,False,,,,42,7,2025-05-20
U-00169,2024-06-26,meta_ads,web,CMP-005,google,female,30-34,design,churned,,,False,,2024-08-17,,0,6,2024-08-17
U-00170,2024-05-20,google_ads,ios,CMP-003,email,female,35-39,marketing,churned,,,False,,2024-07-03,,0,0,2024-07-03
U-00171,2024-12-26,google_ads,ios,CMP-001,kakao,other,25-29,design,churned,,,False,,2025-01-06,trial_expired,0,0,2025-01-03
U-00172,2024-10-15,organic,android,,email,female,25-29,marketing,churned,,,False,,2024-11-28,,0,0,2024-11-28
U-00173,2024-09-20,google_ads,ios,CMP-002,google,female,30-34,student,free_active,,,False,,,,20,3,2025-03-28
U-00174,2024-11-29,meta_ads,web,CMP-006,kakao,female,30-34,design,churned,,,False,,2025-03-19,found_alternative,0,2,2024-12-24
U-00175,2024-12-04,organic,web,,kakao,male,30-34,office_admin,churned,,,False,,2025-04-28,found_alternative,5,4,2025-02-28
U-00176,2024-06-16,youtube,android,CMP-010,email,female,25-29,marketing,churned,,,False,,2025-05-10,other,14,4,2025-03-25
U-00177,2024-05-01,content_marketing,web,CMP-008,kakao,male,35-39,marketing,active,monthly_basic,2024-05-09,False,,,,57,29,2025-05-23
U-00178,2024-09-08,google_ads,web,CMP-002,naver,female,20-24,other,resurrected,monthly_basic,2025-01-22,False,,2024-09-22,,18,4,2025-05-25
U-00179,2024-09-06,google_ads,web,CMP-002,kakao,female,35-39,marketing,active,monthly_basic,2024-09-13,False,,,,38,12,2025-05-24
U-00180,2024-09-18,content_marketing,web,CMP-007,email,female,35-39,sales,free_active,,,False,,,,6,7,2025-02-06
U-00181,2024-11-18,google_ads,android,CMP-003,kakao,male,25-29,finance,resurrected,monthly_basic,2025-03-12,False,,2024-12-26,,13,3,2025-05-07
U-00182,2024-11-07,google_ads,web,CMP-003,kakao,male,30-34,student,active,monthly_basic,2024-11-15,False,,,,30,9,2025-05-25
U-00183,2025-01-03,content_marketing,web,CMP-008,naver,female,30-34,other,active,monthly_pro,2025-01-11,True,2025-01-06,,,45,18,2025-05-24
U-00184,2024-05-02,youtube,web,CMP-010,kakao,female,20-24,student,churned,,,False,,2025-03-23,too_expensive,4,0,2025-01-29
U-00185,2024-08-31,content_marketing,ios,CMP-008,kakao,female,25-29,sales,churned,,,False,,2025-03-07,found_alternative,1,0,2025-01-13
U-00186,2024-08-11,organic,android,,google,male,35-39,finance,churned,,,False,,2025-05-06,not_using,3,15,2025-03-03
U-00187,2024-12-13,organic,ios,,google,female,25-29,finance,free_active,,,False,,,,17,9,2025-05-25
U-00188,2024-07-10,google_ads,ios,CMP-002,email,female,30-34,student,free_active,,,False,,,,20,2,2025-05-03
U-00189,2024-06-16,content_marketing,ios,CMP-008,email,male,30-34,student,churned,,,False,,2024-07-02,,0,0,2024-07-02
U-00190,2024-09-13,instagram_influencer,web,CMP-012,naver,female,25-29,finance,churned,,,False,,2025-03-15,other,2,0,2025-01-10
U-00191,2024-09-06,google_ads,ios,CMP-002,email,female,30-34,student,churned,,,False,,2024-10-10,,0,0,2024-10-10
U-00192,2024-07-21,google_ads,ios,CMP-002,kakao,female,20-24,developer,churned,,,False,,2024-08-18,,0,0,2024-08-18
U-00193,2024-07-10,organic,web,,naver,female,40+,office_admin,churned,,,False,,2025-05-03,not_using,5,2,2025-02-19
U-00194,2024-12-24,organic,web,,email,female,20-24,developer,churned,,,False,,2025-01-06,trial_expired,0,0,2025-01-05
U-00195,2024-09-12,organic,web,,google,female,30-34,office_admin,active,annual_pro,2024-09-19,False,,,,54,30,2025-05-24
U-00196,2024-12-13,organic,web,,email,female,25-29,marketing,free_active,,,False,,,,8,6,2025-03-14
U-00197,2024-10-10,youtube,ios,CMP-010,kakao,female,25-29,student,free_active,,,False,,,,3,1,2025-05-25
U-00198,2024-04-04,meta_ads,web,CMP-004,email,male,30-34,student,resurrected,monthly_basic,2025-02-06,False,,2024-05-14,,1,0,2025-02-06
U-00199,2025-01-05,google_ads,web,CMP-003,google,male,20-24,marketing,churned,,,True,2025-01-07,2025-01-13,trial_expired,3,0,2025-01-09
U-00200,2024-12-09,organic,web,,kakao,other,30-34,student,free_active,,,False,,,,6,5,2025-02-21
U-00201,2025-01-01,youtube,web,CMP-010,kakao,female,30-34,other,churned,,,False,,2025-01-09,trial_expired,0,0,2025-01-04
U-00202,2024-12-25,youtube,web,CMP-010,email,female,35-39,design,churned,,,False,,2025-01-06,trial_expired,0,0,2025-01-05
U-00203,2024-12-11,youtube,ios,CMP-010,email,female,40+,sales,churned,,,False,,2025-05-25,too_expensive,8,4,2025-02-11
U-00204,2024-06-05,organic,android,,email,male,30-34,marketing,resurrected,monthly_basic,2025-04-30,False,,2025-03-11,too_expensive,8,2,2025-05-25
U-00205,2024-09-23,organic,web,,kakao,male,25-29,marketing,resurrected,monthly_basic,2025-05-21,False,,2024-10-02,,1,1,2025-05-25
U-00206,2024-06-26,organic,web,,email,female,25-29,developer,resurrected,monthly_basic,2025-02-23,False,,2024-07-19,,40,22,2025-05-22
U-00207,2024-08-31,google_ads,web,CMP-001,naver,other,40+,hr,churned,,,False,,2024-09-16,,0,0,2024-09-16
U-00208,2024-04-09,referral,web,CMP-009,google,male,25-29,student,churned,,,False,,2024-05-21,,0,0,2024-05-21
