push_id,user_id,campaign_id,sent_at,push_type,title,opened,opened_at
PUSH-369f9296,U-04805,CMP-001,2025-01-06T14:38:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-6409cb1f,U-05026,CMP-010,2025-01-06T18:59:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-636b9e50,U-05027,CMP-010,2025-01-06T12:06:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-92d17bdf,U-05033,CMP-004,2025-01-06T12:55:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-af58900d,U-00097,CMP-011,2025-01-07T10:40:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-07T10:59:00
PUSH-04c050d6,U-00179,CMP-002,2025-01-07T10:26:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-07T11:47:00
PUSH-70ba6b17,U-00234,CMP-002,2025-01-07T18:23:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-9cb4e18e,U-00312,,2025-01-07T20:05:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-bebae614,U-00403,CMP-002,2025-01-07T18:07:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-e1f3aa79,U-00466,CMP-013,2025-01-07T10:20:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-3d6baee5,U-00576,CMP-008,2025-01-07T12:37:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-77550794,U-00599,CMP-007,2025-01-07T20:58:00,system,강의 업데이트 알림,False,
PUSH-bc9b1cff,U-00953,CMP-004,2025-01-07T12:32:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-9dbd3d0c,U-00987,CMP-010,2025-01-07T14:46:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-236bd433,U-01429,CMP-011,2025-01-07T18:04:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-3077bc25,U-01508,CMP-009,2025-01-07T14:24:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-07T14:52:00
PUSH-ba381492,U-01537,CMP-011,2025-01-07T10:26:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-fd543f44,U-02016,CMP-009,2025-01-07T20:30:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-edf2e478,U-02165,CMP-010,2025-01-07T12:12:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-4fdaa641,U-02190,CMP-006,2025-01-07T18:33:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-74c2bb0f,U-02217,,2025-01-07T20:29:00,system,강의 업데이트 알림,True,2025-01-07T20:55:00
PUSH-e0896249,U-02500,CMP-006,2025-01-07T10:27:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-ffea9651,U-02531,CMP-002,2025-01-07T18:44:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-30b3d758,U-02728,CMP-009,2025-01-07T20:55:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-07T21:37:00
PUSH-9a9cc65f,U-02761,,2025-01-07T18:12:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-5d9b82c5,U-02999,CMP-007,2025-01-07T14:01:00,system,새로운 기능이 추가됐어요,False,
PUSH-678c7894,U-03016,CMP-009,2025-01-07T12:46:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-db0131f2,U-03054,,2025-01-07T20:17:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-7de184fe,U-03067,CMP-006,2025-01-07T20:46:00,system,강의 업데이트 알림,False,
PUSH-52674563,U-03260,CMP-001,2025-01-07T20:28:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-12864b17,U-03399,CMP-011,2025-01-07T20:13:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-817c5eb2,U-03405,CMP-002,2025-01-07T10:46:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-5fab46fa,U-03602,,2025-01-07T12:58:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-5d8c6908,U-03635,CMP-008,2025-01-07T20:06:00,system,새로운 기능이 추가됐어요,False,
PUSH-e98262c9,U-03755,CMP-004,2025-01-07T20:22:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-c76e9d6c,U-04130,CMP-002,2025-01-07T12:48:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-07T13:04:00
PUSH-72e727fa,U-04146,CMP-008,2025-01-07T18:12:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-7e20c4f0,U-04339,,2025-01-07T12:28:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-390aefe3,U-04429,CMP-010,2025-01-07T18:21:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-c3645266,U-04486,CMP-010,2025-01-07T12:02:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-78a7ab27,U-04513,CMP-009,2025-01-07T10:25:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-dab9a6d8,U-04529,CMP-009,2025-01-07T10:27:00,promotion,수료증 발급 가능한 강의를 확인해보세요,True,2025-01-07T11:37:00
PUSH-d4a573ff,U-04652,,2025-01-07T20:52:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-10c38657,U-04660,CMP-011,2025-01-07T14:12:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-ed6f9840,U-04910,CMP-010,2025-01-07T12:59:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-fc0dcc22,U-05041,CMP-009,2025-01-07T18:34:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-2c7bab60,U-05045,,2025-01-07T12:07:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-07T13:05:00
PUSH-4b36be87,U-05056,CMP-004,2025-01-07T14:10:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-07T16:06:00
PUSH-59732ef1,U-05087,,2025-01-07T12:32:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-3a602e9a,U-05093,CMP-003,2025-01-07T20:58:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-0f4f40ca,U-05097,CMP-007,2025-01-07T20:22:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-e52016dc,U-00308,CMP-007,2025-01-08T20:04:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-c9173bce,U-00388,CMP-008,2025-01-08T18:56:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-7ad8c321,U-00426,CMP-011,2025-01-08T20:43:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-8c23f2af,U-00461,CMP-007,2025-01-08T12:58:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-a3058441,U-00517,CMP-002,2025-01-08T20:48:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-08T21:52:00
PUSH-2d17f5b6,U-00664,CMP-010,2025-01-08T10:55:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-a9d04f0f,U-00843,CMP-013,2025-01-08T14:44:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-08T15:23:00
PUSH-8965e820,U-00987,CMP-010,2025-01-08T10:05:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-08T10:59:00
PUSH-aa4dff1a,U-00999,,2025-01-08T12:40:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-1916be54,U-01053,,2025-01-08T20:05:00,system,강의 업데이트 알림,True,2025-01-08T20:10:00
PUSH-fbd6fba0,U-01118,CMP-002,2025-01-08T20:44:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-08T21:25:00
PUSH-1a678bba,U-01369,,2025-01-08T12:24:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-15c70530,U-01688,CMP-002,2025-01-08T12:22:00,system,이번 달 학습 리포트가 준비됐어요 📊,True,2025-01-08T13:03:00
PUSH-8d31f8cd,U-02071,CMP-001,2025-01-08T12:38:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-19e1e207,U-02418,CMP-008,2025-01-08T12:11:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-5399687d,U-02422,CMP-013,2025-01-08T12:03:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-08T12:16:00
PUSH-5b20db1f,U-02486,CMP-008,2025-01-08T10:02:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,True,2025-01-08T10:26:00
PUSH-fd0b4dd1,U-02505,CMP-010,2025-01-08T20:26:00,promotion,수료증 발급 가능한 강의를 확인해보세요,True,2025-01-08T22:06:00
PUSH-c78c4bd6,U-02551,CMP-007,2025-01-08T10:15:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-5fedfe84,U-02611,CMP-011,2025-01-08T20:03:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-2bb18fb0,U-02916,,2025-01-08T20:02:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-73c97f34,U-02966,CMP-003,2025-01-08T14:44:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-35527659,U-03446,CMP-003,2025-01-08T18:01:00,system,새로운 기능이 추가됐어요,False,
PUSH-56aa5ffb,U-03478,CMP-001,2025-01-08T10:44:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-59f01341,U-03590,CMP-007,2025-01-08T18:25:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-53a57b80,U-03852,CMP-008,2025-01-08T14:01:00,system,새로운 기능이 추가됐어요,True,2025-01-08T15:34:00
PUSH-417a1520,U-03931,CMP-001,2025-01-08T18:48:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-62061901,U-03940,,2025-01-08T20:56:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-bb71c31f,U-04217,,2025-01-08T10:22:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-ce031426,U-04264,,2025-01-08T10:29:00,system,새로운 기능이 추가됐어요,False,
PUSH-dc2a89f6,U-04485,CMP-005,2025-01-08T14:02:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-a5b1509c,U-04497,,2025-01-08T20:31:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-3bc3788b,U-04580,CMP-011,2025-01-08T20:02:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-08T20:10:00
PUSH-0cedc87c,U-04667,CMP-009,2025-01-08T12:23:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-08T14:00:00
PUSH-8a5419ec,U-04750,CMP-007,2025-01-08T14:49:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-3df952f2,U-04832,,2025-01-08T20:30:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-8a66d413,U-04983,CMP-001,2025-01-08T20:57:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-45c578a5,U-05027,CMP-010,2025-01-08T12:44:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-14f32cf9,U-05073,CMP-009,2025-01-08T18:23:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-efe02929,U-05077,,2025-01-08T18:40:00,system,강의 업데이트 알림,False,
PUSH-9346cf98,U-05106,CMP-007,2025-01-08T12:56:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-e41e8238,U-05114,CMP-010,2025-01-08T10:49:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-5bbc9e60,U-05127,,2025-01-08T14:23:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-2a3d9660,U-05139,CMP-001,2025-01-08T20:05:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-444201ff,U-05141,CMP-005,2025-01-08T20:24:00,promotion,새로운 AI 강의가 출시됐어요!,True,2025-01-08T20:49:00
PUSH-8121c146,U-00108,CMP-011,2025-01-09T10:00:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-0666eaf1,U-00362,,2025-01-09T20:07:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-28db184b,U-00380,,2025-01-09T12:41:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-88a97dba,U-00599,CMP-007,2025-01-09T10:56:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-1666d9f8,U-01129,CMP-010,2025-01-09T14:39:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-962b2f9f,U-01269,CMP-011,2025-01-09T20:18:00,system,새로운 기능이 추가됐어요,True,2025-01-09T21:49:00
PUSH-f267024c,U-01397,CMP-009,2025-01-09T20:44:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-09T20:47:00
PUSH-967a20d6,U-01528,CMP-010,2025-01-09T20:36:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-09T21:48:00
PUSH-6b702695,U-01702,CMP-003,2025-01-09T20:22:00,system,새로운 기능이 추가됐어요,False,
PUSH-8425991a,U-01781,CMP-003,2025-01-09T18:08:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-f91798cd,U-01903,CMP-010,2025-01-09T18:41:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-97999b4d,U-01910,CMP-009,2025-01-09T12:18:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,True,2025-01-09T12:33:00
PUSH-68bdfad3,U-02498,,2025-01-09T14:45:00,system,강의 업데이트 알림,False,
PUSH-d90e31bb,U-03278,CMP-011,2025-01-09T14:13:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-0a58d524,U-03377,,2025-01-09T14:34:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-901e14c8,U-03441,CMP-013,2025-01-09T18:07:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-2fa6e5b1,U-03521,CMP-009,2025-01-09T20:46:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-d51e90d2,U-03640,CMP-007,2025-01-09T20:15:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-09T21:37:00
PUSH-e15517a1,U-03822,CMP-010,2025-01-09T18:23:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-cc2afb73,U-04324,CMP-011,2025-01-09T12:51:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-e356aebc,U-04403,CMP-010,2025-01-09T18:41:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-ed6dd9d7,U-04700,CMP-008,2025-01-09T12:20:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,True,2025-01-09T13:44:00
PUSH-c853089a,U-04876,,2025-01-09T18:16:00,system,강의 업데이트 알림,False,
PUSH-0fe74f89,U-04971,CMP-013,2025-01-09T14:31:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-d7fd61e4,U-05020,CMP-001,2025-01-09T10:19:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-09T11:13:00
PUSH-fed940b8,U-05076,,2025-01-09T18:37:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-52c4fef4,U-05097,CMP-007,2025-01-09T10:24:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-5c3243fb,U-05106,CMP-007,2025-01-09T20:38:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-330eabe2,U-05128,,2025-01-09T12:16:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-e6dc0af5,U-05160,CMP-001,2025-01-09T20:37:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-84a0028d,U-05173,CMP-012,2025-01-09T10:49:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-b1eec651,U-05178,CMP-003,2025-01-09T14:46:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-d498cab6,U-05193,CMP-005,2025-01-09T18:22:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-972e4979,U-05194,,2025-01-09T10:48:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-a5040a02,U-00164,,2025-01-10T18:44:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-993767da,U-00227,,2025-01-10T20:49:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-10T21:31:00
PUSH-e2ca3dc3,U-00316,,2025-01-10T20:56:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-2df238f2,U-00346,,2025-01-10T20:30:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-3c1188bf,U-00393,CMP-003,2025-01-10T14:25:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-10T16:06:00
PUSH-e4fb60cb,U-00496,CMP-009,2025-01-10T10:28:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-ee26d42e,U-00497,CMP-009,2025-01-10T14:04:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-8011431d,U-00752,CMP-002,2025-01-10T20:49:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-973484ae,U-00767,CMP-003,2025-01-10T20:40:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-b96c7db0,U-00818,,2025-01-10T18:40:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-3270bba4,U-00992,,2025-01-10T12:38:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-66429d30,U-01045,CMP-011,2025-01-10T12:10:00,promotion,새로운 AI 강의가 출시됐어요!,False,
PUSH-62f79821,U-01176,CMP-001,2025-01-10T20:42:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-cecfb767,U-01369,,2025-01-10T20:50:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-c1c7f3dc,U-01420,CMP-001,2025-01-10T14:04:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-10T14:54:00
PUSH-33745a9b,U-01481,CMP-008,2025-01-10T20:20:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-9999ecc8,U-01650,CMP-010,2025-01-10T20:25:00,system,새로운 기능이 추가됐어요,False,
PUSH-44714cce,U-01702,CMP-003,2025-01-10T10:10:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-10T11:50:00
PUSH-ac5855f6,U-01852,CMP-012,2025-01-10T20:25:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-2127540f,U-01861,CMP-010,2025-01-10T18:40:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-1431b432,U-02497,CMP-007,2025-01-10T20:29:00,system,강의 업데이트 알림,True,2025-01-10T21:13:00
PUSH-7b091be8,U-02534,CMP-007,2025-01-10T14:47:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-8b9c12ba,U-02714,,2025-01-10T18:20:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-37c7edad,U-02941,,2025-01-10T12:25:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-10T13:40:00
PUSH-7de312c8,U-02987,CMP-011,2025-01-10T10:29:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-0a5e6d40,U-03008,CMP-013,2025-01-10T18:22:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-372fb0ed,U-03047,CMP-001,2025-01-10T18:23:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-10T20:07:00
PUSH-1b6b9b3d,U-03084,CMP-001,2025-01-10T12:21:00,system,새로운 기능이 추가됐어요,False,
PUSH-95f5bebe,U-03091,CMP-003,2025-01-10T20:10:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-e749a33a,U-03607,,2025-01-10T20:31:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-9c1b8a94,U-03676,CMP-011,2025-01-10T12:07:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-415ebcfc,U-03709,CMP-008,2025-01-10T20:40:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-9613a8e0,U-03853,CMP-008,2025-01-10T18:44:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-10T20:02:00
PUSH-6b584e94,U-03888,CMP-001,2025-01-10T14:15:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-9320f921,U-04198,,2025-01-10T12:33:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-10T12:46:00
PUSH-5b4fa4df,U-04802,CMP-009,2025-01-10T20:25:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-dfa0888d,U-04857,CMP-002,2025-01-10T20:29:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-4a0ceb01,U-04987,,2025-01-10T12:38:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-10T14:34:00
PUSH-58b59694,U-05004,CMP-011,2025-01-10T10:09:00,re_engagement,오랜만이에요! 새로운 강의를 확인해보세요 👋,False,
PUSH-9ca2d34c,U-05037,CMP-001,2025-01-10T18:43:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
